"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"08.12.2021","49.297,9","50.584,7","50.780,5","48.694,9","37,39K","-2,54%"
"07.12.2021","50.581,2","50.467,9","51.891,6","50.059,2","38,28K","0,06%"
"06.12.2021","50.551,8","49.406,7","50.882,5","47.216,6","58,56K","2,39%"
"05.12.2021","49.370,0","49.189,8","49.657,1","47.769,0","45,59K","0,42%"
"04.12.2021","49.165,0","53.608,8","53.833,8","42.567,3","114,20K","-8,26%"
"03.12.2021","53.593,2","56.498,4","57.529,7","51.993,8","58,92K","-5,12%"
"02.12.2021","56.483,7","57.161,7","57.363,2","55.791,6","37,57K","-1,25%"
"01.12.2021","57.197,7","56.969,2","59.049,4","56.500,0","44,96K","0,59%"
"30.11.2021","56.864,4","57.781,1","59.155,1","55.940,3","49,15K","-1,58%"
"29.11.2021","57.774,5","57.352,0","58.838,0","56.707,2","40,13K","0,87%"
"28.11.2021","57.275,4","54.658,3","57.373,2","53.432,3","36,16K","4,61%"
"27.11.2021","54.750,0","53.810,8","55.259,7","53.638,2","29,72K","1,91%"
"26.11.2021","53.726,1","58.961,6","59.135,3","53.522,6","65,92K","-8,82%"
"25.11.2021","58.920,0","57.174,1","59.374,0","57.020,6","42,15K","3,07%"
"24.11.2021","57.164,6","57.549,2","57.716,7","55.900,0","39,61K","-0,71%"
"23.11.2021","57.570,8","56.245,6","57.850,0","55.559,1","49,91K","2,24%"
"22.11.2021","56.311,0","58.670,4","59.257,8","55.640,7","51,74K","-4,09%"
"21.11.2021","58.711,9","59.726,9","59.988,5","58.515,6","31,89K","-1,67%"
"20.11.2021","59.706,0","58.057,8","59.842,8","57.430,5","33,82K","2,83%"
"19.11.2021","58.061,6","56.978,7","58.304,9","55.610,2","50,71K","2,03%"
"18.11.2021","56.908,4","60.344,9","60.930,3","56.511,0","62,15K","-5,74%"
"17.11.2021","60.375,4","60.052,1","60.808,4","58.533,2","46,31K","0,52%"
"16.11.2021","60.064,7","63.606,7","63.606,7","58.610,5","77,40K","-5,55%"
"15.11.2021","63.594,0","65.677,4","66.304,3","63.443,7","37,84K","-2,93%"
"14.11.2021","65.512,1","64.404,4","65.512,1","63.606,6","25,70K","1,73%"
"13.11.2021","64.395,7","64.163,4","64.905,2","63.373,4","22,50K","0,42%"
"12.11.2021","64.128,4","64.749,0","65.446,4","62.306,5","44,49K","-1,00%"
"11.11.2021","64.774,3","64.846,9","65.588,0","64.116,0","37,24K","-0,22%"
"10.11.2021","64.920,0","66.972,5","69.000,0","62.964,1","65,15K","-3,02%"
"09.11.2021","66.943,0","67.531,3","68.493,0","66.323,9","44,66K","-0,85%"
"08.11.2021","67.520,0","63.354,9","67.784,8","63.338,5","54,44K","6,72%"
